Date, Value
2018-03-05T03:52:39Z,97
2018-03-05T03:52:48Z,98
2018-03-05T03:52:55Z,101
2018-03-05T03:53:05Z,98
2018-03-05T03:53:13Z,100
2018-03-05T03:53:26Z,103
2018-03-05T03:53:34Z,99
2018-03-05T03:53:43Z,98
2018-03-05T03:53:55Z,100
2018-03-05T03:54:11Z,99
2018-03-05T03:54:20Z,102
2018-03-05T03:54:33Z,102
2018-03-05T03:54:43Z,100
2018-03-05T03:54:57Z,101
2018-03-05T03:55:03Z,98
2018-03-05T03:55:13Z,100
2018-03-05T03:55:22Z,102
2018-03-05T03:55:34Z,103
2018-03-05T03:55:48Z,99
2018-03-05T03:55:55Z,97
2018-03-05T03:56:08Z,101
2018-03-05T03:56:22Z,99
2018-03-05T03:56:27Z,96
2018-03-05T03:56:41Z,98
2018-03-05T03:56:47Z,97
2018-03-05T03:56:56Z,96
2018-03-05T03:57:14Z,95
2018-03-05T03:57:23Z,96
2018-03-05T03:57:30Z,100
2018-03-05T03:57:44Z,101
2018-03-05T03:57:49Z,94
2018-03-05T03:57:56Z,97
2018-03-05T03:58:07Z,99
2018-03-05T03:58:15Z,102
2018-03-05T03:58:25Z,105
2018-03-05T03:58:32Z,102
2018-03-05T03:58:42Z,100
2018-03-05T03:58:51Z,103
2018-03-05T03:58:59Z,95
2018-03-05T03:59:05Z,99
2018-03-05T03:59:17Z,101
2018-03-05T03:59:24Z,102
2018-03-05T03:59:33Z,98
2018-03-05T03:59:45Z,95
2018-03-05T03:59:50Z,93
2018-03-05T03:59:56Z,93
2018-03-05T04:00:11Z,97
2018-03-05T04:00:19Z,101
2018-03-05T04:00:28Z,100
2018-03-05T04:00:34Z,98
2018-03-05T04:00:42Z,98
2018-03-05T04:00:47Z,101
2018-03-05T04:00:57Z,101
2018-03-05T04:01:03Z,98
2018-03-05T04:01:12Z,97
2018-03-05T04:01:18Z,100
2018-03-05T04:01:26Z,102
2018-03-05T04:01:41Z,99
2018-03-05T04:01:51Z,101
2018-03-05T04:02:08Z,100
2018-03-05T04:02:17Z,98
2018-03-05T04:02:22Z,93
2018-03-05T04:02:29Z,97
2018-03-05T04:02:46Z,97
2018-03-05T04:02:57Z,98
2018-03-05T04:03:07Z,101
2018-03-05T04:03:18Z,101
2018-03-05T04:03:30Z,99
2018-03-05T04:03:40Z,101
2018-03-05T04:03:53Z,102
2018-03-05T04:03:58Z,99
2018-03-05T04:04:07Z,99
2018-03-05T04:04:20Z,102
2018-03-05T04:04:30Z,100
2018-03-05T04:04:39Z,99
2018-03-05T04:04:44Z,92
2018-03-05T04:04:49Z,95
2018-03-05T04:05:03Z,98
2018-03-05T04:05:10Z,100
2018-03-05T04:05:15Z,98
2018-03-05T04:05:20Z,100
2018-03-05T04:05:27Z,99
2018-03-05T04:05:43Z,99
2018-03-05T04:05:51Z,97
2018-03-05T04:06:04Z,99
2018-03-05T04:06:12Z,101
2018-03-05T04:06:21Z,100
2018-03-05T04:06:35Z,98
2018-03-05T04:06:48Z,98
2018-03-05T04:06:59Z,97
2018-03-05T04:07:13Z,100
2018-03-05T04:07:20Z,98
2018-03-05T04:07:31Z,98
2018-03-05T04:07:39Z,98
2018-03-05T04:07:44Z,101
2018-03-05T04:07:53Z,105
2018-03-05T04:07:58Z,98
2018-03-05T04:08:03Z,95
2018-03-05T04:08:09Z,101
2018-03-05T04:08:18Z,99
2018-03-05T04:08:32Z,97
2018-03-05T04:08:39Z,99
2018-03-05T04:08:55Z,101
2018-03-05T04:09:04Z,101
2018-03-05T04:09:11Z,101
2018-03-05T04:09:16Z,99
2018-03-05T04:09:25Z,99
2018-03-05T04:09:37Z,98
2018-03-05T04:09:47Z,98
2018-03-05T04:09:54Z,96
2018-03-05T04:09:59Z,98
2018-03-05T04:10:08Z,101
2018-03-05T04:10:13Z,92
2018-03-05T04:10:18Z,83
2018-03-05T04:10:23Z,79
2018-03-05T04:10:31Z,82
2018-03-05T04:10:37Z,90
2018-03-05T04:10:46Z,101
2018-03-05T04:10:53Z,96
2018-03-05T04:10:58Z,99
2018-03-05T04:11:06Z,99
2018-03-05T04:11:13Z,90
2018-03-05T04:11:18Z,89
2018-03-05T04:11:23Z,96
2018-03-05T04:11:32Z,100
2018-03-05T04:11:42Z,98
2018-03-05T04:11:55Z,100
2018-03-05T04:12:02Z,99
2018-03-05T04:12:09Z,103
2018-03-05T04:12:19Z,106
2018-03-05T04:12:24Z,95
2018-03-05T04:12:29Z,80
2018-03-05T04:12:34Z,84
2018-03-05T04:12:40Z,98
2018-03-05T04:12:47Z,99
2018-03-05T04:12:53Z,91
2018-03-05T04:12:58Z,81
2018-03-05T04:13:03Z,94
2018-03-05T04:13:23Z,99
2018-03-05T04:13:44Z,99
2018-03-05T04:13:59Z,99
2018-03-05T04:14:07Z,103
2018-03-05T04:14:14Z,103
2018-03-05T04:14:24Z,105
2018-03-05T04:14:31Z,103
2018-03-05T04:14:39Z,97
2018-03-05T04:14:56Z,96
